s.id,s
1,"{gtot: 1, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 1, Lambda: 0, energy: 0.0}"
2,"{gtot: 1, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1705.8, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 2, Lambda: 0, energy: 1827.487599}"
3,"{gtot: 1, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1080.4, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 3, Lambda: 0, energy: 3626.681661}"
4,"{gtot: 1, el_state: ""X1Sigmag+"", Sigma: 0, tau: 13.408, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 4, Lambda: 0, energy: 5396.685747}"
5,"{gtot: 1, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000018124, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 5, Lambda: 0, energy: 6250.143654}"
6,"{gtot: 1, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.65178, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 6, Lambda: 0, energy: 7136.350333}"
7,"{gtot: 1, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.00001465, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 7, Lambda: 0, energy: 7698.24547}"
8,"{gtot: 1, el_state: ""X1Sigmag+"", Sigma: 0, tau: 0.19423, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 5, id: 8, Lambda: 0, energy: 8844.125829}"
9,"{gtot: 1, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000012418, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 9, Lambda: 0, energy: 9124.170774}"
11,"{gtot: 1, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.000010967, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 11, Lambda: 0, energy: 10528.070836}"
12,"{gtot: 1, el_state: ""b3Sigmag-"", Sigma: 0, tau: 0.0000097292, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 4, id: 12, Lambda: 0, energy: 11909.995592}"
29,"{gtot: 1, Sigma: -1, el_state: ""d3Pig"", tau: 9.8789e-8, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 29, Lambda: 1, energy: 20009.006761}"
33,"{gtot: 1, Sigma: -1, el_state: ""d3Pig"", tau: 1.0107e-7, parity_rot: ""e"", J: 0, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 33, Lambda: 1, energy: 21762.508418}"
309,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 12165.0, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8923, Omega: -1, v: 0, id: 309, Lambda: -1, energy: 619.635986}"
310,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 42669.0, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3923, Omega: 0, v: 0, id: 310, Lambda: -1, energy: 635.324069}"
311,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 354.07, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8893, Omega: -1, v: 1, id: 311, Lambda: -1, energy: 2237.603892}"
312,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 1406.8, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3893, Omega: 0, v: 1, id: 312, Lambda: -1, energy: 2253.25458}"
313,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 137.86, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8862, Omega: -1, v: 2, id: 313, Lambda: -1, energy: 3832.255016}"
314,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 543.79, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3862, Omega: 0, v: 2, id: 314, Lambda: -1, energy: 3847.868515}"
315,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 78.086, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.883, Omega: -1, v: 3, id: 315, Lambda: -1, energy: 5403.590283}"
316,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 306.43, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.383, Omega: 0, v: 3, id: 316, Lambda: -1, energy: 5419.150384}"
317,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 26.492, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8797, Omega: -1, v: 4, id: 317, Lambda: -1, energy: 6951.561575}"
318,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 40.585, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3797, Omega: 0, v: 4, id: 318, Lambda: -1, energy: 6967.133621}"
319,"{gtot: 3, el_state: ""A1Piu"", Sigma: 0, tau: 0.000013129, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.5, Omega: -1, v: 0, id: 319, Lambda: -1, energy: 8271.605903}"
320,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 6.8229, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8764, Omega: -1, v: 5, id: 320, Lambda: -1, energy: 8476.198738}"
321,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 7.5027, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3764, Omega: 0, v: 5, id: 321, Lambda: -1, energy: 8491.706051}"
322,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 0.50515, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 0, id: 322, Lambda: 0, energy: 9280.209667}"
323,"{gtot: 3, el_state: ""A1Piu"", Sigma: 0, tau: 0.000010616, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.5, Omega: -1, v: 1, id: 323, Lambda: -1, energy: 9855.615736}"
324,"{gtot: 3, el_state: ""a3Piu"", Sigma: 0, tau: 2.1218, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.8729, Omega: -1, v: 6, id: 324, Lambda: -1, energy: 9977.571116}"
325,"{gtot: 3, el_state: ""a3Piu"", Sigma: 1, tau: 2.1497, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: -0.3729, Omega: 0, v: 6, id: 325, Lambda: -1, energy: 9992.945996}"
326,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 2.0902, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 1, id: 326, Lambda: 0, energy: 11312.046536}"
327,"{gtot: 3, el_state: ""A1Piu"", Sigma: 0, tau: 0.000008949, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 0.5, Omega: -1, v: 2, id: 327, Lambda: -1, energy: 11415.41152}"
333,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 0.28532, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 2, id: 333, Lambda: 0, energy: 13314.972976}"
337,"{gtot: 3, Sigma: -1, el_state: ""c3Sigmau+"", tau: 4.3369, parity_rot: ""e"", J: 1, parity_tot: ""-"", gLande: 1.0011, Omega: -1, v: 3, id: 337, Lambda: 0, energy: 15287.933089}"
428,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 10000, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 0, id: 428, Lambda: 0, energy: 10.874961}"
429,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1702.1, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 1, id: 429, Lambda: 0, energy: 1838.238745}"
430,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 1079.8, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 2, id: 430, Lambda: 0, energy: 3637.327786}"
431,"{gtot: 5, el_state: ""X1Sigmag+"", Sigma: 0, tau: 13.319, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 0.0, Omega: 0, v: 3, id: 431, Lambda: 0, energy: 5407.217738}"
432,"{gtot: 5, el_state: ""b3Sigmag-"", Sigma: 1, tau: 0.000018121, parity_rot: ""e"", J: 2, parity_tot: ""+"", gLande: 1.0012, Omega: 1, v: 0, id: 432, Lambda: 0, energy: 6250.324211}"
