S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
734,428,"[428, 429, 430, 431, 434, 437]",6.8,6,62.663,4983.0,312.0,0.026392789939283436,0.9999878,240.0,0.020249418786059542,"[876.36, 1043.46, 1284.61, 1662.62, 2339.1, 3894.81]","[0.547186, 0.319937, 0.057821, 0.039071, 0.03317, 0.002803]"
728,428,"[428, 429, 430, 431, 434]",6.8,5,63.714,5570.0,355.0,0.025747705192095134,0.99998936,272.0,0.01975448849531098,"[1015.11, 1246.3, 1606.51, 2244.74, 3682.73]","[0.806678, 0.005408, 0.142395, 0.043026, 0.002482]"
722,428,"[428, 429, 430, 431]",6.8,4,65.67,6643.0,436.0,0.01628078878982446,0.99999436,335.0,0.012491158044714453,"[1209.6, 1552.84, 2154.83, 3483.23]","[0.678616, 0.28349, 0.036492, 0.001397]"
1502,1196,"[1205, 1196, 1197, 1198, 1199, 1202]",22.6,6,62.731,9095.0,571.0,0.047880565044100064,0.99998788,240.0,0.020131161425442114,"[3897.84, 876.61, 1043.79, 1285.08, 1663.32, 2340.35]","[0.002797, 0.547278, 0.319894, 0.057829, 0.039047, 0.033142]"
1496,1196,"[1196, 1197, 1198, 1199, 1202]",22.6,5,63.792,10167.0,649.0,0.046739101394386015,0.99998941,273.0,0.019651238329870802,"[1015.43, 1246.74, 1607.17, 2245.91, 3685.5]","[0.806765, 0.005401, 0.142348, 0.042997, 0.002478]"
1490,1196,"[1196, 1197, 1198, 1199]",22.6,4,65.75,12126.0,797.0,0.029578755195649436,0.99999438,335.0,0.01243625038799801,"[1210.02, 1553.47, 2155.92, 3485.74]","[0.678653, 0.28347, 0.036475, 0.001395]"
2270,1964,"[1973, 1964, 1965, 1966, 1967, 1970]",47.5,6,62.84,13185.0,829.0,0.06874822201626578,0.99998799,240.0,0.019945967752274897,"[3902.62, 877.01, 1044.32, 1285.81, 1664.43, 2342.31]","[0.002789, 0.547414, 0.319836, 0.057843, 0.039009, 0.033097]"
2264,1964,"[1964, 1965, 1966, 1967, 1970]",47.5,5,63.906,14740.0,942.0,0.06717986549367766,0.99998951,273.0,0.019490939422724625,"[1015.93, 1247.43, 1608.22, 2247.74, 3689.85]","[0.806898, 0.00539, 0.142278, 0.042952, 0.002472]"
3038,2732,"[2741, 2732, 2733, 2734, 2735, 2738]",81.5,6,62.989,17273.0,1088.0,0.0889013083788206,0.99998815,241.0,0.019700063933878395,"[3909.15, 877.56, 1045.03, 1286.8, 1665.94, 2344.99]","[0.002778, 0.547606, 0.319749, 0.057861, 0.038959, 0.033036]"
2258,1964,"[1964, 1965, 1966, 1967]",47.5,4,65.885,17582.0,1158.0,0.04256958907215892,0.99999442,336.0,0.012350743422280526,"[1210.67, 1554.45, 2157.62, 3489.7]","[0.67872, 0.283431, 0.036451, 0.001392]"
3032,2732,"[2732, 2733, 2734, 2735, 2738]",81.5,5,64.068,19310.0,1237.0,0.08697871226296083,0.99998963,274.0,0.019274026712467977,"[1016.61, 1248.37, 1609.64, 2250.24, 3695.8]","[0.807085, 0.005375, 0.142176, 0.042891, 0.002463]"
3807,3500,"[3509, 3500, 3501, 3502, 3503, 3506]",124.4,6,63.179,21364.0,1350.0,0.1081212545448417,0.99998835,242.0,0.019385744506717838,"[3917.45, 878.25, 1045.94, 1288.07, 1667.86, 2348.39]","[0.002763, 0.547851, 0.31964, 0.057884, 0.038893, 0.032959]"
3026,2732,"[2732, 2733, 2734, 2735]",81.5,4,66.065,23036.0,1522.0,0.05521112313050488,0.99999448,337.0,0.012234495480060873,"[1211.57, 1555.79, 2159.95, 3495.1]","[0.678808, 0.283381, 0.036418, 0.001388]"
3800,3500,"[3500, 3501, 3502, 3503, 3506]",124.4,5,64.272,23885.0,1535.0,0.10597866091171045,0.99998978,275.0,0.0190015853242476,"[1017.48, 1249.57, 1611.45, 2253.41, 3703.37]","[0.807321, 0.005356, 0.142048, 0.042813, 0.002452]"
4575,4268,"[4277, 4268, 4269, 4270, 4271, 4274]",176.4,6,63.538,25462.0,1618.0,0.12612024178346912,0.99998859,244.0,0.018990168333809555,"[3927.52, 879.1, 1047.05, 1289.6, 1670.19, 2352.52]","[0.002745, 0.548171, 0.319506, 0.057899, 0.038806, 0.032861]"
5342,5036,"[5045, 5036, 5037, 5038, 5039, 5042]",237.5,6,63.684,29570.0,1883.0,0.1436300303593239,0.99998882,244.0,0.01864178198082127,"[3939.45, 880.09, 1048.35, 1291.4, 1672.93, 2357.39]","[0.002726, 0.548462, 0.319364, 0.057953, 0.038727, 0.032757]"
3794,3500,"[3500, 3501, 3502, 3503]",124.4,4,66.295,28498.0,1889.0,0.06741955570375781,0.99999455,339.0,0.012088079139772006,"[1212.7, 1557.49, 2162.9, 3501.96]","[0.678916, 0.283319, 0.036376, 0.001383]"
4568,4268,"[4268, 4269, 4270, 4271, 4272, 4274]",176.4,6,75.271,28468.0,2143.0,0.12388939142796451,0.99998998,323.0,0.01865426488818102,"[1018.53, 1251.02, 1613.64, 2257.26, 2734.84, 3712.56]","[0.807614, 0.005333, 0.141886, 0.042718, 0.0, 0.002439]"
6110,5804,"[5813, 5804, 5805, 5806, 5807, 5810]",307.5,6,63.988,33690.0,2156.0,0.15957069261654977,0.99998909,246.0,0.01819979379847025,"[3953.19, 881.23, 1049.84, 1293.48, 1676.09, 2363.0]","[0.002702, 0.548858, 0.319188, 0.057989, 0.03862, 0.032631]"
