S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
"""1832""","""1""","[""3654"", ""1"", ""3655"", ""2"", ""3657"", ""3""]",4.0,6,16575.735,22384.0,371037.0,0.0000010529534978442567,1.0,371037.0,0.0000010529534978442567,"[4259.71, 4255.47, 9414.72, 9394.0, 10423.27, 10397.9]","[0.6649, 0.333149, 0.000684, 0.000343, 0.000615, 0.000309]"
"""1832""","""3654""","[""3654"", ""1"", ""3655"", ""2"", ""3657"", ""3""]",4.0,6,16575.735,22384.0,371037.0,0.0000010529534978442567,1.0,371037.0,0.0000010529534978442567,"[4259.71, 4255.47, 9414.72, 9394.0, 10423.27, 10397.9]","[0.6649, 0.333149, 0.000684, 0.000343, 0.000615, 0.000309]"
"""10570""","""3654""","[""3654"", ""14021"", ""3655"", ""14022"", ""3657"", ""14024""]",4.0,6,16576.129,22385.0,371050.0,0.000006636097235996031,1.0,371050.0,0.000006636097235996031,"[4252.7, 4262.6, 9380.53, 9428.89, 10381.38, 10440.59]","[0.428919, 0.56913, 0.000443, 0.000584, 0.000398, 0.000526]"
"""10570""","""14021""","[""3654"", ""14021"", ""3655"", ""14022"", ""3657"", ""14024""]",4.9,6,16576.129,24716.0,409693.0,0.0000073272094061700964,1.0,371050.0,0.000006636097235996033,"[4252.7, 4262.6, 9380.53, 9428.89, 10381.38, 10440.59]","[0.428919, 0.56913, 0.000443, 0.000584, 0.000398, 0.000526]"
"""25457""","""14021""","[""30351"", ""14021"", ""14022"", ""30352"", ""30354"", ""14024""]",4.9,6,16577.31,24716.0,409730.0,0.000019900631557890264,1.0,371084.0,0.000018023577429721578,"[4265.54, 4249.98, 9367.34, 9443.33, 10458.23, 10365.18]","[0.542504, 0.455544, 0.000472, 0.000556, 0.000501, 0.000423]"
"""25457""","""30351""","[""30351"", ""14021"", ""14022"", ""30352"", ""30354"", ""14024""]",10.2,6,16577.31,35817.0,593755.0,0.000028838728544671993,1.0,371084.0,0.000018023577429721578,"[4265.54, 4249.98, 9367.34, 9443.33, 10458.23, 10365.18]","[0.542504, 0.455544, 0.000472, 0.000556, 0.000501, 0.000423]"
"""45780""","""30351""","[""30351"", ""51944"", ""30352"", ""51945"", ""30354"", ""51947""]",10.2,6,16579.278,35818.0,593842.0,0.00006001628328932217,1.0,371138.0,0.000037508870310756155,"[4247.31, 4268.53, 9354.41, 9458.05, 10349.28, 10476.19]","[0.468341, 0.529708, 0.000486, 0.000542, 0.000435, 0.000488]"
"""45780""","""51944""","[""30351"", ""51944"", ""30352"", ""51945"", ""30354"", ""51947""]",17.6,6,16579.278,46897.0,777517.0,0.0000785793022236142,1.0,371138.0,0.000037508870310756155,"[4247.31, 4268.53, 9354.41, 9458.05, 10349.28, 10476.19]","[0.468341, 0.529708, 0.000486, 0.000542, 0.000435, 0.000488]"
"""70876""","""51944""","[""78150"", ""51944"", ""51945"", ""78151"", ""51947"", ""78153""]",17.6,6,16581.247,46899.0,777638.0,0.00014329126382728785,0.99999999,371196.0,0.00006839833492370862,"[4271.57, 4244.68, 9341.76, 9473.06, 10333.7, 10494.49]","[0.522025, 0.476024, 0.000496, 0.000534, 0.000442, 0.00048]"
"""70876""","""78150""","[""78150"", ""51944"", ""51945"", ""78151"", ""51947"", ""78153""]",26.8,6,16581.247,57968.0,961179.0,0.00017711156639771525,0.99999999,371196.0,0.00006839833492370863,"[4271.57, 4244.68, 9341.76, 9473.06, 10333.7, 10494.49]","[0.522025, 0.476024, 0.000496, 0.000534, 0.000442, 0.00048]"
