s.id,s
"""1""","{ef: ""e"", gtot: 1, n1: 0, m1: 0, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 1000, J: 0, n2lin: 0, r: 1, id: ""1"", v1: 0, v2: 0, v3: 0, energy: 0.0, tot_symmetry: ""A1""}"
"""100128""","{ef: ""e"", gtot: 23, n1: 0, m1: 0, n3: 1, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 1, tau: 0.002369143357718529, J: 11, n2lin: 0, r: 1, id: ""100128"", v1: 0, v2: 1, v3: 0, energy: 2400.243132, tot_symmetry: ""A2""}"
"""10570""","{ef: ""e"", gtot: 7, n1: 0, m1: 0, n3: 1, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 1, tau: 0.0023680184878719086, J: 3, n2lin: 0, r: 1, id: ""10570"", v1: 0, v2: 1, v3: 0, energy: 2353.788525, tot_symmetry: ""A2""}"
"""108365""","{ef: ""e"", gtot: 25, n1: 0, m1: 0, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 1000, J: 12, n2lin: 0, r: 1, id: ""108365"", v1: 0, v2: 0, v3: 0, energy: 60.870902, tot_symmetry: ""A1""}"
"""108366""","{ef: ""e"", gtot: 25, n1: 0, m1: 1, n3: 0, m2: 0, l2: 0, Ci: -1.0, m3: 0, m4: 0, tau: 0.7962861215291879, J: 12, n2lin: 2, r: 2, id: ""108366"", v1: 0, v2: 0, v3: 1, energy: 1346.3196, tot_symmetry: ""A1""}"
"""108368""","{ef: ""e"", gtot: 25, n1: 1, m1: 1, n3: 0, m2: 0, l2: 0, Ci: -1.0, m3: 0, m4: 0, tau: 0.5634659920100522, J: 12, n2lin: 0, r: 1, id: ""108368"", v1: 1, v2: 0, v3: 0, energy: 1449.050896, tot_symmetry: ""A1""}"
"""132967""","{ef: ""e"", gtot: 27, n1: 0, m1: 0, n3: 1, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 1, tau: 0.0023695936888618718, J: 13, n2lin: 0, r: 1, id: ""132967"", v1: 0, v2: 1, v3: 0, energy: 2419.598102, tot_symmetry: ""A2""}"
"""14021""","{ef: ""e"", gtot: 9, n1: 0, m1: 0, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 1000, J: 4, n2lin: 0, r: 1, id: ""14021"", v1: 0, v2: 0, v3: 0, energy: 7.8043, tot_symmetry: ""A1""}"
"""14022""","{ef: ""e"", gtot: 9, n1: 0, m1: 1, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 0.7938587090269674, J: 4, n2lin: 2, r: 2, id: ""14022"", v1: 0, v2: 0, v3: 1, energy: 1293.2178, tot_symmetry: ""A1""}"
"""14024""","{ef: ""e"", gtot: 9, n1: 1, m1: 1, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 0.5655532807745818, J: 4, n2lin: 0, r: 1, id: ""14024"", v1: 1, v2: 0, v3: 0, energy: 1395.987901, tot_symmetry: ""A1""}"
"""142031""","{ef: ""e"", gtot: 29, n1: 0, m1: 0, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 1000, J: 14, n2lin: 0, r: 1, id: ""142031"", v1: 0, v2: 0, v3: 0, energy: 81.940101, tot_symmetry: ""A1""}"
"""142032""","{ef: ""e"", gtot: 29, n1: 0, m1: 1, n3: 0, m2: 0, l2: 0, Ci: -1.0, m3: 0, m4: 0, tau: 0.7972574344255761, J: 14, n2lin: 2, r: 2, id: ""142032"", v1: 0, v2: 0, v3: 1, energy: 1367.402595, tot_symmetry: ""A1""}"
"""142033""","{ef: ""e"", gtot: 29, n1: 0, m1: 0, n3: 0, m2: 2, l2: 2, Ci: -1.0, m3: 2, m4: 0, tau: 0.328205666799043, J: 14, n2lin: 2, r: 1, id: ""142033"", v1: 0, v2: 0, v3: 0, energy: 1417.3755, tot_symmetry: ""A1""}"
"""142034""","{ef: ""e"", gtot: 29, n1: 1, m1: 1, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 0.5626417153820619, J: 14, n2lin: 0, r: 1, id: ""142034"", v1: 1, v2: 0, v3: 0, energy: 1470.1188, tot_symmetry: ""A1""}"
"""168874""","{ef: ""e"", gtot: 31, n1: 0, m1: 0, n3: 1, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 1, tau: 0.002370100525510424, J: 15, n2lin: 0, r: 1, id: ""168874"", v1: 0, v2: 1, v3: 0, energy: 2442.049097, tot_symmetry: ""A2""}"
"""178644""","{ef: ""e"", gtot: 33, n1: 0, m1: 0, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 1000, J: 16, n2lin: 0, r: 1, id: ""178644"", v1: 0, v2: 0, v3: 0, energy: 106.129702, tot_symmetry: ""A1""}"
"""178645""","{ef: ""e"", gtot: 33, n1: 0, m1: 1, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 0.7983649485852974, J: 16, n2lin: 2, r: 2, id: ""178645"", v1: 0, v2: 0, v3: 1, energy: 1391.6078, tot_symmetry: ""A1""}"
"""178646""","{ef: ""e"", gtot: 33, n1: 0, m1: 0, n3: 0, m2: 2, l2: 2, Ci: -1.0, m3: 2, m4: 0, tau: 0.32806569187414086, J: 16, n2lin: 2, r: 1, id: ""178646"", v1: 0, v2: 0, v3: 0, energy: 1441.6547, tot_symmetry: ""A1""}"
"""178647""","{ef: ""e"", gtot: 33, n1: 1, m1: 1, n3: 0, m2: 0, l2: 0, Ci: -1.0, m3: 0, m4: 0, tau: 0.561699928664109, J: 16, n2lin: 0, r: 1, id: ""178647"", v1: 1, v2: 0, v3: 0, energy: 1494.3071, tot_symmetry: ""A1""}"
"""1832""","{ef: ""e"", gtot: 3, n1: 0, m1: 0, n3: 1, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 1, tau: 0.0023679621911542378, J: 1, n2lin: 0, r: 1, id: ""1832"", v1: 0, v2: 1, v3: 0, energy: 2349.917065, tot_symmetry: ""A2""}"
"""2""","{ef: ""e"", gtot: 1, n1: 0, m1: 1, n3: 0, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 0, tau: 0.7935248373274083, J: 0, n2lin: 2, r: 2, id: ""2"", v1: 0, v2: 0, v3: 1, energy: 1285.408201, tot_symmetry: ""A1""}"
"""207390""","{ef: ""e"", gtot: 35, n1: 0, m1: 0, n3: 1, m2: 0, l2: 0, Ci: 1.0, m3: 0, m4: 1, tau: 0.0023707201401035405, J: 17, n2lin: 0, r: 1, id: ""207390"", v1: 0, v2: 1, v3: 0, energy: 2467.595628, tot_symmetry: ""A2""}"
