S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
6,10,"[12, 10, 13, 15, 18, 16, 19, 21, 22, 24]",4.0,10,30.844,1405.0,43.0,2.0328336643292298e-13,1.0,43.0,2.0328336643292298e-13,"[357.88, 356.64, 398.67, 400.16, 450.55, 448.75, 509.28, 511.49, 583.71, 586.48]","[0.303957, 0.562946, 0.082216, 0.04452, 0.002218, 0.004085, 0.000037, 0.00002, 0.0, 0.0]"
7,11,"[11, 14, 17, 20, 23]",21.5,5,16.807,3260.0,55.0,-3.143297558530923e-13,1.0,24.0,-1.3547825805014496e-13,"[356.96, 399.05, 449.2, 509.82, 584.38]","[0.866892, 0.126746, 0.006305, 0.000057, 0.0]"
28,10,"[34, 12, 10, 15, 37, 13, 16, 40, 18, 21, 43, 19, 46, 24]",4.0,14,42.175,1406.0,59.0,0.0000027987767817523556,1.0,59.0,0.0000027987767817523556,"[357.36, 357.32, 356.08, 399.46, 399.5, 397.98, 447.87, 449.72, 449.67, 510.35, 510.42, 508.15, 585.07, 584.98]","[0.400337, 0.338126, 0.128155, 0.049828, 0.058236, 0.018931, 0.00095, 0.002882, 0.002496, 0.000023, 0.000026, 0.000009, 0.0, 0.0]"
50,10,"[62, 10, 12, 34, 60, 15, 37, 63, 13, 65, 40, 16, 18, 66, 68]",4.0,15,45.508,1409.0,64.0,0.03576645259188098,0.99994157,64.0,0.03576645259188098,"[360.96, 356.75, 357.99, 358.02, 358.0, 400.3, 400.34, 400.3, 398.81, 403.85, 450.78, 448.93, 450.73, 450.73, 455.03]","[0.059946, 0.104887, 0.281265, 0.185509, 0.234604, 0.041773, 0.027314, 0.033916, 0.015825, 0.00854, 0.001366, 0.000809, 0.002106, 0.001667, 0.000414]"
52,10,"[62, 12, 60, 10, 34, 37, 15, 63, 65, 13, 16, 18, 40, 66, 68]",4.0,15,45.344,1408.0,64.0,0.03586593372451198,0.99994133,64.0,0.03586593372451198,"[359.52, 356.57, 356.57, 355.33, 356.6, 398.56, 398.52, 398.52, 402.04, 397.04, 446.69, 448.47, 448.52, 448.48, 452.73]","[0.303399, 0.196849, 0.056163, 0.004105, 0.305552, 0.045382, 0.02947, 0.008173, 0.043855, 0.000617, 0.000031, 0.001497, 0.002288, 0.000404, 0.002155]"
79,33,"[35, 89, 87, 61, 33, 64, 38, 90, 36, 92, 41, 67, 93, 95, 44]",20.3,15,45.778,3171.0,145.0,0.08037109094240216,0.99994165,65.0,0.035715762548866804,"[356.58, 360.37, 356.57, 356.61, 354.51, 398.49, 398.46, 398.45, 395.99, 402.98, 448.32, 448.36, 448.31, 453.79, 508.51]","[0.277777, 0.328246, 0.025338, 0.231405, 0.002455, 0.03467, 0.042158, 0.003694, 0.000375, 0.04737, 0.002167, 0.00176, 0.000183, 0.002321, 0.000021]"
77,33,"[87, 61, 35, 33, 89, 36, 90, 64, 38, 92, 93, 41, 39, 67, 95]",20.3,15,45.859,3174.0,146.0,0.08257487241747308,0.99994009,65.0,0.03669509149600816,"[358.28, 358.31, 358.28, 356.19, 362.11, 398.09, 400.58, 400.62, 400.59, 405.16, 451.0, 451.01, 447.99, 451.05, 456.55]","[0.199885, 0.328968, 0.196008, 0.0931, 0.047454, 0.014268, 0.028931, 0.048706, 0.029455, 0.006733, 0.001421, 0.0015, 0.00074, 0.002445, 0.000324]"
6,12,"[12, 10, 13, 15, 18, 16, 19, 21, 22, 24]",61.0,10,30.844,5487.0,169.0,7.936587199007244e-13,1.0,43.0,2.0328336643292298e-13,"[357.88, 356.64, 398.67, 400.16, 450.55, 448.75, 509.28, 511.49, 583.71, 586.48]","[0.303957, 0.562946, 0.082216, 0.04452, 0.002218, 0.004085, 0.000037, 0.00002, 0.0, 0.0]"
28,12,"[34, 12, 10, 15, 37, 13, 16, 40, 18, 21, 43, 19, 46, 24]",61.0,14,42.175,5488.0,231.0,0.000010926981567015683,1.0,59.0,0.000002798776781752356,"[357.36, 357.32, 356.08, 399.46, 399.5, 397.98, 447.87, 449.72, 449.67, 510.35, 510.42, 508.15, 585.07, 584.98]","[0.400337, 0.338126, 0.128155, 0.049828, 0.058236, 0.018931, 0.00095, 0.002882, 0.002496, 0.000023, 0.000026, 0.000009, 0.0, 0.0]"
28,34,"[34, 12, 10, 15, 37, 13, 16, 40, 18, 21, 43, 19, 46, 24]",62.5,14,42.175,5558.0,234.0,0.000011066805441008942,1.0,59.0,0.0000027987767817523564,"[357.36, 357.32, 356.08, 399.46, 399.5, 397.98, 447.87, 449.72, 449.67, 510.35, 510.42, 508.15, 585.07, 584.98]","[0.400337, 0.338126, 0.128155, 0.049828, 0.058236, 0.018931, 0.00095, 0.002882, 0.002496, 0.000023, 0.000026, 0.000009, 0.0, 0.0]"
52,12,"[62, 12, 60, 10, 34, 37, 15, 63, 65, 13, 16, 18, 40, 66, 68]",61.0,15,45.344,5495.0,249.0,0.14002774327939438,0.99994133,64.0,0.03586593372451198,"[359.52, 356.57, 356.57, 355.33, 356.6, 398.56, 398.52, 398.52, 402.04, 397.04, 446.69, 448.47, 448.52, 448.48, 452.73]","[0.303399, 0.196849, 0.056163, 0.004105, 0.305552, 0.045382, 0.02947, 0.008173, 0.043855, 0.000617, 0.000031, 0.001497, 0.002288, 0.000404, 0.002155]"
52,60,"[62, 12, 60, 10, 34, 37, 15, 63, 65, 13, 16, 18, 40, 66, 68]",61.1,15,45.344,5501.0,249.0,0.14017375555603184,0.99994133,64.0,0.035865933724511974,"[359.52, 356.57, 356.57, 355.33, 356.6, 398.56, 398.52, 398.52, 402.04, 397.04, 446.69, 448.47, 448.52, 448.48, 452.73]","[0.303399, 0.196849, 0.056163, 0.004105, 0.305552, 0.045382, 0.02947, 0.008173, 0.043855, 0.000617, 0.000031, 0.001497, 0.002288, 0.000404, 0.002155]"
50,12,"[62, 10, 12, 34, 60, 15, 37, 63, 13, 65, 40, 16, 18, 66, 68]",61.0,15,45.508,5502.0,250.0,0.1396393491389213,0.99994157,64.0,0.03576645259188098,"[360.96, 356.75, 357.99, 358.02, 358.0, 400.3, 400.34, 400.3, 398.81, 403.85, 450.78, 448.93, 450.73, 450.73, 455.03]","[0.059946, 0.104887, 0.281265, 0.185509, 0.234604, 0.041773, 0.027314, 0.033916, 0.015825, 0.00854, 0.001366, 0.000809, 0.002106, 0.001667, 0.000414]"
50,60,"[62, 10, 12, 34, 60, 15, 37, 63, 13, 65, 40, 16, 18, 66, 68]",61.1,15,45.508,5508.0,251.0,0.13978495642215275,0.99994157,64.0,0.03576645259188098,"[360.96, 356.75, 357.99, 358.02, 358.0, 400.3, 400.34, 400.3, 398.81, 403.85, 450.78, 448.93, 450.73, 450.73, 455.03]","[0.059946, 0.104887, 0.281265, 0.185509, 0.234604, 0.041773, 0.027314, 0.033916, 0.015825, 0.00854, 0.001366, 0.000809, 0.002106, 0.001667, 0.000414]"
52,34,"[62, 12, 60, 10, 34, 37, 15, 63, 65, 13, 16, 18, 40, 66, 68]",62.5,15,45.344,5566.0,252.0,0.14181956670398588,0.99994133,64.0,0.035865933724511974,"[359.52, 356.57, 356.57, 355.33, 356.6, 398.56, 398.52, 398.52, 402.04, 397.04, 446.69, 448.47, 448.52, 448.48, 452.73]","[0.303399, 0.196849, 0.056163, 0.004105, 0.305552, 0.045382, 0.02947, 0.008173, 0.043855, 0.000617, 0.000031, 0.001497, 0.002288, 0.000404, 0.002155]"
