S1_id,S0_id,s2_id_list,T_init,num_decays,inv_R_us,n_cool,t_cool_ms,n_cool/n10,closure,t_cool_ms_4K,n_cool_n10_ratio_4K,lambda_list_nm,BR_list
"""37""","""151""","[""152"", ""542"", ""151"", ""541"", ""153"", ""543"", ""154"", ""544"", ""545"", ""155""]",4.0,10,0.336,2859.0,0.961,0.5155496569562642,0.99958491,0.96,0.5155496569562642,"[484.59, 484.59, 465.3, 465.3, 505.41, 505.41, 527.94, 527.94, 552.4, 552.4]","[0.267655, 0.387845, 0.055776, 0.07133, 0.068685, 0.117451, 0.009838, 0.018235, 0.001827, 0.000944]"
"""37""","""541""","[""152"", ""542"", ""151"", ""541"", ""153"", ""543"", ""154"", ""544"", ""545"", ""155""]",4.0,10,0.336,2859.0,0.961,0.5155496569562642,0.99958491,0.96,0.5155496569562642,"[484.59, 484.59, 465.3, 465.3, 505.41, 505.41, 527.94, 527.94, 552.4, 552.4]","[0.267655, 0.387845, 0.055776, 0.07133, 0.068685, 0.117451, 0.009838, 0.018235, 0.001827, 0.000944]"
"""34""","""541""","[""151"", ""541"", ""152"", ""542"", ""153"", ""543"", ""154"", ""544"", ""545"", ""559""]",4.0,10,0.339,2845.0,0.966,0.05016831063087024,0.9999594,0.97,0.05016831063087024,"[482.14, 482.14, 502.89, 502.89, 525.35, 525.35, 549.73, 549.73, 576.31, 1602.16]","[0.36344, 0.52388, 0.038013, 0.06476, 0.003189, 0.005936, 0.0002, 0.000394, 0.000022, 0.000125]"
"""34""","""151""","[""151"", ""541"", ""152"", ""542"", ""153"", ""543"", ""154"", ""544"", ""545"", ""559""]",4.0,10,0.339,2845.0,0.966,0.05016831063087024,0.9999594,0.97,0.05016831063087024,"[482.14, 482.14, 502.89, 502.89, 525.35, 525.35, 549.73, 549.73, 576.31, 1602.16]","[0.36344, 0.52388, 0.038013, 0.06476, 0.003189, 0.005936, 0.0002, 0.000394, 0.000022, 0.000125]"
"""187""","""1""","[""2"", ""302"", ""1"", ""301"", ""3"", ""303"", ""4"", ""304"", ""5"", ""305""]",4.0,10,0.338,2859.0,0.966,0.5145356569642279,0.99958573,0.97,0.5145356569642279,"[484.55, 484.61, 465.26, 465.31, 505.37, 505.43, 527.9, 527.96, 552.35, 552.42]","[0.172144, 0.483352, 0.030006, 0.097093, 0.055656, 0.130488, 0.008898, 0.019178, 0.000905, 0.001866]"
"""187""","""301""","[""2"", ""302"", ""1"", ""301"", ""3"", ""303"", ""4"", ""304"", ""5"", ""305""]",4.0,10,0.338,2859.0,0.966,0.5145356569642279,0.99958573,0.97,0.5145356569642279,"[484.55, 484.61, 465.26, 465.31, 505.37, 505.43, 527.9, 527.96, 552.35, 552.42]","[0.172144, 0.483352, 0.030006, 0.097093, 0.055656, 0.130488, 0.008898, 0.019178, 0.000905, 0.001866]"
"""349""","""541""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""543"", ""1053"", ""1054""]",4.0,10,0.34,2845.0,0.968,0.5224620422195032,0.99957721,0.97,0.5224620422195032,"[482.08, 482.08, 482.17, 502.83, 502.83, 502.92, 525.28, 525.28, 525.38, 549.77]","[0.262347, 0.035473, 0.589487, 0.032455, 0.005452, 0.064877, 0.002976, 0.000552, 0.0056, 0.000357]"
"""349""","""151""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""543"", ""1053"", ""1054""]",4.0,10,0.34,2845.0,0.968,0.5224620422195032,0.99957721,0.97,0.5224620422195032,"[482.08, 482.08, 482.17, 502.83, 502.83, 502.92, 525.28, 525.28, 525.38, 549.77]","[0.262347, 0.035473, 0.589487, 0.032455, 0.005452, 0.064877, 0.002976, 0.000552, 0.0056, 0.000357]"
"""349""","""1051""","[""151"", ""541"", ""1051"", ""152"", ""542"", ""1052"", ""153"", ""543"", ""1053"", ""1054""]",4.0,10,0.34,2845.0,0.968,0.5224620422195032,0.99957721,0.97,0.5224620422195032,"[482.08, 482.08, 482.17, 502.83, 502.83, 502.92, 525.28, 525.28, 525.38, 549.77]","[0.262347, 0.035473, 0.589487, 0.032455, 0.005452, 0.064877, 0.002976, 0.000552, 0.0056, 0.000357]"
"""589""","""1""","[""1"", ""301"", ""781"", ""2"", ""302"", ""782"", ""3"", ""303"", ""783"", ""784""]",4.0,10,0.34,2845.0,0.968,0.528680558368182,0.99957217,0.97,0.528680558368182,"[482.11, 482.16, 482.16, 502.85, 502.91, 502.91, 525.31, 525.37, 525.37, 549.76]","[0.328043, 0.088026, 0.471244, 0.036138, 0.008398, 0.058243, 0.00312, 0.000668, 0.005339, 0.000354]"
