s.id,s
"""1""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002204, tau: 1000, J: 0.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""1"", state: ""X2Sigma+"", Lambda: 0, energy: 0.0}"
"""151""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.66741, tau: 942950.0, J: 0.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""151"", state: ""X2Sigma+"", Lambda: 0, energy: 0.7761}"
"""152""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.66741, tau: 0.05211, J: 0.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""152"", state: ""X2Sigma+"", Lambda: 0, energy: 856.519}"
"""153""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.66741, tau: 0.026311, J: 0.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""153"", state: ""X2Sigma+"", Lambda: 0, energy: 1706.6031}"
"""154""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.667411, tau: 0.017713, J: 0.5, Omega: -0.5, v: 3, Epsilon: -0.5, id: ""154"", state: ""X2Sigma+"", Lambda: 0, energy: 2551.0341}"
"""172""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.003578, tau: 3.5472e-8, J: 0.5, Omega: -0.5, v: 0, Epsilon: 0.5, id: ""172"", state: ""A2Pi"", Lambda: -1, energy: 16294.991868}"
"""174""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.003548, tau: 3.6106e-8, J: 0.5, Omega: -0.5, v: 1, Epsilon: 0.5, id: ""174"", state: ""A2Pi"", Lambda: -1, energy: 17108.31063}"
"""184""","{ef: ""f"", gi: 4, parity: ""-"", g: -0.665291, tau: 3.0731e-8, J: 0.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""184"", state: ""B2Sigma"", Lambda: 0, energy: 20742.5775}"
"""2""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002205, tau: 0.052103, J: 0.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""2"", state: ""X2Sigma+"", Lambda: 0, energy: 855.7463}"
"""22""","{ef: ""e"", gi: 4, parity: ""+"", g: 0.007737, tau: 3.5473e-8, J: 0.5, Omega: 0.5, v: 0, Epsilon: -0.5, id: ""22"", state: ""A2Pi"", Lambda: 1, energy: 16295.142495}"
"""24""","{ef: ""e"", gi: 4, parity: ""+"", g: 0.007645, tau: 3.6107e-8, J: 0.5, Omega: 0.5, v: 1, Epsilon: -0.5, id: ""24"", state: ""A2Pi"", Lambda: 1, energy: 17108.46324}"
"""3""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002206, tau: 0.026308, J: 0.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""3"", state: ""X2Sigma+"", Lambda: 0, energy: 1705.8339}"
"""301""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400443, tau: 98980.0, J: 1.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""301"", state: ""X2Sigma+"", Lambda: 0, energy: 2.3283}"
"""302""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400443, tau: 0.052113, J: 1.5, Omega: 0.5, v: 1, Epsilon: 0.5, id: ""302"", state: ""X2Sigma+"", Lambda: 0, energy: 858.0643}"
"""303""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400444, tau: 0.026313, J: 1.5, Omega: 0.5, v: 2, Epsilon: 0.5, id: ""303"", state: ""X2Sigma+"", Lambda: 0, energy: 1708.1415}"
"""304""","{ef: ""f"", gi: 8, parity: ""+"", g: -0.400444, tau: 0.017714, J: 1.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""304"", state: ""X2Sigma+"", Lambda: 0, energy: 2552.5656}"
"""34""","{ef: ""e"", gi: 4, parity: ""+"", g: 1.995791, tau: 3.073e-8, J: 0.5, Omega: 0.5, v: 0, Epsilon: 0.5, id: ""34"", state: ""B2Sigma"", Lambda: 0, energy: 20741.6877}"
"""4""","{ef: ""e"", gi: 4, parity: ""+"", g: 2.002207, tau: 0.017711, J: 0.5, Omega: 0.5, v: 3, Epsilon: 0.5, id: ""4"", state: ""X2Sigma+"", Lambda: 0, energy: 2550.2684}"
"""541""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667402, tau: 997510.0, J: 1.5, Omega: -0.5, v: 0, Epsilon: -0.5, id: ""541"", state: ""X2Sigma+"", Lambda: 0, energy: 0.7761}"
"""542""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667402, tau: 0.052102, J: 1.5, Omega: -0.5, v: 1, Epsilon: -0.5, id: ""542"", state: ""X2Sigma+"", Lambda: 0, energy: 856.519}"
"""543""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667403, tau: 0.026307, J: 1.5, Omega: -0.5, v: 2, Epsilon: -0.5, id: ""543"", state: ""X2Sigma+"", Lambda: 0, energy: 1706.6031}"
"""544""","{ef: ""e"", gi: 8, parity: ""-"", g: 0.667403, tau: 0.01771, J: 1.5, Omega: -0.5, v: 3, Epsilon: -0.5, id: ""544"", state: ""X2Sigma+"", Lambda: 0, energy: 2551.0341}"
